system   D            wsystem.c:583  maybe_parent_dir                 [   0.00126] Also searching C:\Users\Leonardo\Documents\Visual Studio 11\Projects\Projeto Final\
display  D   display_settings.c:357  _al_score_display_settings       [   0.03857] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03859] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03861] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03863] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03865] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03867] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03869] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03871] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03873] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03875] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03876] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03878] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03880] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03882] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03884] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03886] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03888] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03890] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03892] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03893] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03895] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03897] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03899] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03901] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03903] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03905] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03907] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03909] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03910] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03912] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03914] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03916] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03918] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03920] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03922] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03924] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03926] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03928] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03930] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03932] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03934] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03936] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03938] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03940] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03941] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03943] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03945] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.03947] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03949] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03951] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03953] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03955] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03957] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03959] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03961] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03963] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03965] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03967] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03969] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03971] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03973] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03975] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03977] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03979] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03981] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03983] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03985] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03986] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03988] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03990] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03992] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03994] Single Buffer requirement not met.
